"iter","stock","param","value"
1,1,"alpha",4.07553035746503
1,2,"alpha",4.05260046597189
1,3,"alpha",2.22272208040835
1,4,"alpha",5.0648558619672
1,5,"alpha",7.84105446435486
1,6,"alpha",6.44033956475351
1,7,"alpha",7.27673170257892
1,8,"alpha",2.61009392965336
1,9,"alpha",3.45493615628709
1,10,"alpha",2.44743019015775
1,11,"alpha",3.07753558240877
1,12,"alpha",9.14415910210067
1,1,"beta",0.000490316590785077
1,2,"beta",0.000257650535881075
1,3,"beta",0.000979670716516131
1,4,"beta",0.000392924172594273
1,5,"beta",0.000310286864844674
1,6,"beta",0.000119956098322988
1,7,"beta",0.000447612598496605
1,8,"beta",5.01745922495451e-05
1,9,"beta",6.22857017017048e-05
1,10,"beta",0.000272853770405354
1,11,"beta",0.000485344857496203
1,12,"beta",0.000305345891273195
1,1,"U_msy",0.567297057
1,2,"U_msy",0.565590689
1,3,"U_msy",0.357047765
1,4,"U_msy",0.629479412
1,5,"U_msy",0.734234056
1,6,"U_msy",0.690330757
1,7,"U_msy",0.718183322
1,8,"U_msy",0.418037295
1,9,"U_msy",0.515391026
1,10,"U_msy",0.394061609
1,11,"U_msy",0.476641177
1,12,"U_msy",0.764989641
1,1,"S_msy",1157.001553
1,2,"S_msy",2195.185378
1,3,"S_msy",364.4569129
1,4,"S_msy",1602.037889
1,5,"S_msy",2366.307244
1,6,"S_msy",5754.861709
1,7,"S_msy",1604.475219
1,8,"S_msy",8331.653059
1,9,"S_msy",8274.628236
1,10,"S_msy",1444.2227
1,11,"S_msy",982.0670182
1,12,"S_msy",2505.321548
1,NA,"S_obj",57965.9815768247
1,NA,"U_obj",0.39
1,NA,"U_MSY",0.55
1,NA,"S_MSY",37198.820109719
2,1,"alpha",3.67205745716567
2,2,"alpha",5.06344615382331
2,3,"alpha",3.73052895942195
2,4,"alpha",5.0210370628622
2,5,"alpha",8.0485259787848
2,6,"alpha",2.87099675437465
2,7,"alpha",4.61353966907019
2,8,"alpha",4.43389920675887
2,9,"alpha",4.12509130731041
2,10,"alpha",2.45890211136825
2,11,"alpha",3.7643516245336
2,12,"alpha",3.56784317341844
2,1,"beta",0.000185002686336577
2,2,"beta",0.00043062660763171
2,3,"beta",0.00057270244854065
2,4,"beta",0.000104367282379356
2,5,"beta",0.000106126565488044
2,6,"beta",0.00017636135375967
2,7,"beta",4.60271389052742e-05
2,8,"beta",0.000367652229825726
2,9,"beta",0.00107939915722409
2,10,"beta",0.000467369455571479
2,11,"beta",6.35713366193421e-05
2,12,"beta",0.000627829151134212
2,1,"U_msy",0.53501087
2,2,"U_msy",0.629404149
2,3,"U_msy",0.540006694
2,4,"U_msy",0.627124854
2,5,"U_msy",0.739672839
2,6,"U_msy",0.452417368
2,7,"U_msy",0.603618142
2,8,"U_msy",0.592229244
2,9,"U_msy",0.570936891
2,10,"U_msy",0.39582446
2,11,"U_msy",0.542844328
2,12,"U_msy",0.525811308
2,1,"S_msy",2891.908656
2,2,"S_msy",1461.600695
2,3,"S_msy",942.9097001
2,4,"S_msy",6008.826135
2,5,"S_msy",6969.723703
2,6,"S_msy",2565.286319
2,7,"S_msy",13114.39634
2,8,"S_msy",1610.840887
2,9,"S_msy",528.9395375
2,10,"S_msy",846.9198303
2,11,"S_msy",8539.136612
2,12,"S_msy",837.5069986
2,NA,"S_obj",70355.316080185
2,NA,"U_obj",0.45
2,NA,"U_MSY",0.6
2,NA,"S_MSY",45238.1706752134
3,1,"alpha",2.1562254205158
3,2,"alpha",3.32489771067766
3,3,"alpha",2.61867711605222
3,4,"alpha",9.06410520438416
3,5,"alpha",5.75153756267147
3,6,"alpha",1.92069510347549
3,7,"alpha",3.0530319364837
3,8,"alpha",2.09199795477717
3,9,"alpha",3.57214101798987
3,10,"alpha",2.75362199554827
3,11,"alpha",3.93524365820926
3,12,"alpha",6.22323648867189
3,1,"beta",0.000444328860496568
3,2,"beta",0.00014455469200006
3,3,"beta",6.96789289723658e-05
3,4,"beta",0.000320303005497595
3,5,"beta",0.000443435389263765
3,6,"beta",8.56703174224703e-05
3,7,"beta",0.000182419411510311
3,8,"beta",0.000682942116443495
3,9,"beta",0.000948004358250892
3,10,"beta",7.79574885467281e-05
3,11,"beta",0.000620150684453891
3,12,"beta",9.10105119889352e-05
3,1,"U_msy",0.345094648
3,2,"U_msy",0.502758817
3,3,"U_msy",0.419244256
3,4,"U_msy",0.763311554
3,5,"U_msy",0.662696137
3,6,"U_msy",0.298356836
3,7,"U_msy",0.473890073
3,8,"U_msy",0.333061751
3,9,"U_msy",0.526198442
3,10,"U_msy",0.437519076
3,11,"U_msy",0.556627591
3,12,"U_msy",0.682141414
3,1,"S_msy",776.6649405
3,2,"S_msy",3477.983385
3,3,"S_msy",6016.801093
3,4,"S_msy",2383.092075
3,5,"S_msy",1494.45929
3,6,"S_msy",3482.616208
3,7,"S_msy",2597.805075
3,8,"S_msy",487.6866472
3,9,"S_msy",555.0590959
3,10,"S_msy",5612.277719
3,11,"S_msy",897.5682926
3,12,"S_msy",7495.193677
3,NA,"S_obj",56500.8426771781
3,NA,"U_obj",0.33
3,NA,"U_MSY",0.53
3,NA,"S_MSY",31484.3297243535
4,1,"alpha",3.1460235355125
4,2,"alpha",2.69034831276554
4,3,"alpha",2.78571342924817
4,4,"alpha",2.00372338781733
4,5,"alpha",4.59935813979594
4,6,"alpha",2.12476600592311
4,7,"alpha",2.80256781853869
