Umsy_1,Umsy_2,Umsy_3,Umsy_4,Umsy_5,Umsy_6,Umsy_7,Umsy_8,Umsy_9,Umsy_10,Umsy_11,Umsy_12,Umsy_13,Smsy_1,Smsy_2,Smsy_3,Smsy_4,Smsy_5,Smsy_6,Smsy_7,Smsy_8,Smsy_9,Smsy_10,Smsy_11,Smsy_12,Smsy_13
0.635059884,0.389922646,0.662662724,0.318619365,0.739893082,0.380064807,0.399009044,0.397578402,0.699013848,0.613077086,0.494464582,0.581498727,0.374135581,7133.125538,2631.081195,11646.40557,1580.040484,2501.896948,5245.33135,6171.51195,504.6980539,2572.834538,1588.566794,266.77974,919.5316537,809.5107609
0.655763165,0.313328395,0.576401835,0.324714092,0.856249286,0.461549219,0.430260722,0.502762355,0.652692357,0.60892396,0.488882051,0.581223721,0.393999055,7771.485676,2507.066048,13271.82631,1256.040393,2379.461473,5889.1991,5712.613107,513.46658,2552.033249,1385.576817,255.929481,915.5560506,730.8681408
0.591120089,0.409436883,0.719296875,0.318731967,0.844422827,0.343876657,0.328367188,0.46422472,0.652045991,0.687983577,0.461018338,0.595560537,0.418246209,7565.272025,2374.538555,11608.74521,1117.875128,2862.373552,7731.212598,9158.984186,410.6458055,2856.836967,1272.906339,240.0851678,1021.527645,755.4773934
0.664513589,0.453869945,0.703134607,0.366048923,0.812421071,0.472378014,0.471494959,0.426495309,0.687335197,0.72486966,0.534089,0.617643337,0.421769492,6583.88225,2326.329977,10700.42102,1413.825409,2293.247755,5709.170575,5490.538049,526.0211623,2626.051651,1263.109586,241.9997811,986.7898294,947.8227119
0.689885331,0.423002872,0.627001952,0.338640432,0.770494312,0.448341666,0.327515537,0.322104681,0.676072394,0.708276542,0.398097221,0.532415301,0.390891943,7659.724862,2486.707922,9850.627946,1096.83794,2167.352005,6218.095395,5594.656029,433.2186778,2621.004046,1548.972225,202.7794847,819.6839633,886.9771888
0.525004589,0.53268869,0.573102718,0.34050922,0.739512349,0.419641265,0.377516008,0.43184097,0.550939646,0.686009656,0.55978962,0.497586151,0.46942611,6288.194022,2192.931098,10452.42547,940.6930335,2248.572208,5308.927598,5232.03512,497.8864612,3069.114524,1347.791302,254.3649927,1051.797856,857.4718865
0.634097727,0.408168768,0.618950049,0.299345124,0.793575941,0.551314705,0.497001863,0.517998665,0.6233368,0.663066054,0.452864303,0.557513356,0.462650354,7151.080951,2269.361642,9299.473517,872.0418157,2415.880078,5873.595903,5566.751912,456.6341626,2844.007834,1357.441131,280.1007351,900.7028959,767.1436992
0.611029286,0.447398214,0.547659058,0.310027521,0.722222603,0.397185868,0.373902947,0.474562513,0.547960354,0.652331516,0.451166887,0.547806065,0.362662295,6331.905065,2159.712021,9476.735039,1001.938118,2678.081359,6228.255873,4272.966754,479.6787166,2531.549371,1378.743946,227.2753482,901.792337,817.6553764
0.608838555,0.508751315,0.693873634,0.390361148,0.795813743,0.643111004,0.36195984,0.410934712,0.578784809,0.698574407,0.455532902,0.520039803,0.450679482,6262.614775,2199.878966,9975.367397,906.8499639,2553.917793,5361.746437,4247.365742,318.8955431,2563.491577,1428.70278,208.1870247,847.1712196,892.5130784
0.652433518,0.544237548,0.614470808,0.300228565,0.773559985,0.522000816,0.492873538,0.365091992,0.722431229,0.732620638,0.475022205,0.568730386,0.330787992,7306.999247,2285.866133,10251.67251,1209.807963,2677.525046,5229.427128,5913.701135,347.4240814,2404.833483,1554.298616,232.2555902,842.7232078,728.7450804
0.658486164,0.55453645,0.529173107,0.345864261,0.722535752,0.566751245,0.385049354,0.478092391,0.687801755,0.675227855,0.513302523,0.508793906,0.407194269,7499.076829,2252.958833,13240.61423,1382.352317,2802.309925,7581.106607,7972.0274,570.7998366,2568.65455,1271.37494,299.3818304,1006.79627,1007.241289
0.608607091,0.614020101,0.48984258,0.328841475,0.76779919,0.408042425,0.31720612,0.326518346,0.624420373,0.698104129,0.560340601,0.468135409,0.555921274,7310.902639,2470.970696,13381.13974,928.1709903,2697.163038,7706.865302,7881.722362,661.1749957,3051.975295,1457.730152,265.5785618,1011.618382,1001.674097
0.647547756,0.563809374,0.602973334,0.278717273,0.742595537,0.515964455,0.409232584,0.338414646,0.72789289,0.642476513,0.432468506,0.53927185,0.331728679,8144.593322,2171.738962,13946.23642,846.5161916,3192.200388,6289.906016,5662.883307,419.5360783,2449.816702,1546.179188,206.5802612,1016.887525,924.5218379
0.444530565,0.587991591,0.521411711,0.264641347,0.716928345,0.451951406,0.29419928,0.295315112,0.577986712,0.61785624,0.497590067,0.481490296,0.35704473,8065.150714,2098.431815,10528.63322,701.9862379,2612.436803,5498.146222,5504.064296,450.2774187,2669.565173,1288.770566,217.8875039,1142.973493,709.2749987
0.685547438,0.442466501,0.483501121,0.292602704,0.713925887,0.534282409,0.45208092,0.34646251,0.722351091,0.640799745,0.445472967,0.510023034,0.325060412,9088.627111,2609.510856,11223.70373,809.5096509,2751.140117,6390.173246,7426.247747,541.4316044,2557.621781,1497.947201,259.1631799,1102.58385,916.8071506
0.635537956,0.558492943,0.70368292,0.29701146,0.717191188,0.453375909,0.483138716,0.414238176,0.662707722,0.636217359,0.513649024,0.5167361,0.454353661,8989.622197,3070.284344,10026.22201,1800.853114,2672.521329,8438.481744,8722.842862,653.7227803,2725.377587,1605.342138,323.936245,1171.822581,1346.677904
0.694406299,0.503080603,0.718735226,0.403835495,0.819984491,0.627124854,0.438373343,0.331421455,0.721616582,0.633056548,0.42950508,0.340126079,0.389384758,7685.226659,2874.963146,11472.08484,1161.016589,2595.714603,6008.826135,8061.686193,524.91778,2380.182126,1519.338665,301.3789453,1472.365091,1340.047778
0.540223266,0.575265309,0.47299663,0.384929201,0.692215411,0.559202743,0.382291305,0.531114755,0.717368389,0.646671019,0.488761843,0.341098079,0.510182055,8511.648393,2715.650802,8274.337798,823.0878052,2398.814162,5549.64862,8740.840833,590.5269679,2581.986118,1640.05625,338.3264458,1458.207894,1066.957324
0.569965447,0.568817444,0.647019066,0.500137542,0.787998577,0.651731492,0.354289174,0.345308978,0.703099889,0.63820548,0.424524165,0.347946965,0.45470294,8979.591795,2401.19161,9886.21133,751.0492029,2561.833814,5239.976261,8077.805079,549.3023988,2710.565452,1643.471871,270.3711466,1535.324851,1209.839211
0.505385089,0.518374562,0.744561044,0.412603289,0.672253061,0.558946168,0.365325874,0.294860041,0.611508742,0.638249867,0.395826129,0.419562567,0.48507688,8461.701332,2743.686485,9029.108311,1048.664267,2588.279285,5131.123405,8738.018509,611.7120325,2442.59372,1471.776008,392.400578,1074.547787,925.8691702
0.536036712,0.438520419,0.667624366,0.299699274,0.75002393,0.483672762,0.295515501,0.420527912,0.691990419,0.656254094,0.388549272,0.427726623,0.34056736,10060.46973,2324.81194,8856.674588,741.397076,2804.429218,7756.948992,8940.079007,532.7588809,2572.872256,1285.615977,305.6884499,1549.072833,661.1247364
0.599045837,0.446850258,0.734514869,0.37867361,0.786726723,0.473047325,0.351626261,0.382025078,0.721587681,0.701754282,0.338506734,0.331095418,0.353365848,9691.948087,2759.436208,9099.174559,1270.650947,2812.386829,6516.133123,7651.556159,501.085908,2434.082687,1441.274244,276.0368909,1694.622051,1120.101421
0.678030874,0.464675859,0.664063102,0.514969448,0.771672874,0.55965556,0.429486445,0.352019155,0.690676244,0.706397337,0.397394893,0.371983037,0.39486601,8034.309465,2847.626595,8456.71089,828.8587753,2632.439711,5269.9862,7085.201072,474.1251079,2359.188865,1462.365429,275.8285617,959.6867485,906.9208258
0.628228688,0.482218267,0.611577064,0.279714897,0.737305763,0.499235031,0.350629264,0.461972499,0.731111252,0.7196124,0.472625872,0.415711513,0.33323866,9333.182717,2794.853839,7248.14213,746.9884401,2837.395024,6539.745755,9562.305595,700.1949119,2361.301061,1277.472836,248.5079947,982.4457951,766.7982003
0.564670823,0.399701271,0.588201287,0.438041034,0.796921549,0.58125919,0.401774604,0.503933113,0.656126201,0.707300749,0.516671377,0.453356704,0.505713966,9103.459533,2899.565102,8083.617508,902.0532009,2533.804773,6316.664206,10778.16498,675.6704275,2304.484719,1409.195322,313.0057693,941.9998199,996.5457456
0.521526611,0.359609291,0.614965222,0.334997158,0.763836832,0.50754942,0.242569674,0.460037945,0.690551057,0.688604549,0.384839491,0.500452118,0.394861172,7979.741785,2967.653081,6953.293891,909.8787775,2495.571004,6112.19685,8143.503386,586.2364054,2216.529253,1364.569257,277.3582627,964.6100338,971.2863008
0.594305505,0.585314643,0.696791917,0.394526288,0.70382755,0.442241535,0.317836797,0.35672462,0.748600417,0.772599806,0.390298422,0.457262351,0.502509345,8909.569305,3125.046478,7710.603358,817.9049467,2696.175219,6631.154447,9970.22052,610.0124416,2334.664958,1395.29221,292.2448841,898.9115842,998.5885978
0.57730733,0.471663703,0.626671216,0.42006173,0.695976381,0.356402975,0.329902581,0.521080522,0.721193766,0.729096987,0.362021422,0.579825095,0.551492239,8508.158006,3528.587886,6697.11158,650.6558458,2593.075658,6423.19281,9891.368365,513.7830153,2831.004918,1444.776228,299.2548409,1027.088253,932.7637021
0.628660415,0.434141982,0.693722487,0.283583724,0.785240301,0.412598266,0.32739224,0.496874541,0.683451258,0.681541866,0.302782792,0.521295424,0.472050391,7600.169242,3150.497302,7232.385469,723.810311,2630.485243,5992.97458,7504.066934,640.2634697,2376.72561,1641.923854,357.8879793,933.6573964,899.7971649
0.616043733,0.537888591,0.765637873,0.335096561,0.785668122,0.530180639,0.315097909,0.443225209,0.6728191,0.684337473,0.373285531,0.562961862,0.470815047,8632.327764,2991.835712,7604.468986,936.3037392,2404.204674,5479.055261,6883.026862,499.3123025,2279.206157,1390.55524,325.3615632,936.0042422,957.604682
0.494114093,0.470580001,0.647324181,0.318382777,0.691370075,0.406393475,0.360653741,0.506793996,0.679128857,0.686194132,0.390119306,0.42619762,0.474043078,7555.720058,3281.236668,8238.673303,940.0607346,2352.591409,9194.583302,7700.544007,523.1044724,2598.126378,1439.410361,308.1631598,930.2394218,851.5411229
0.542994571,0.47464948,0.608477951,0.319921547,0.680610199,0.500922101,0.448700869,0.393636164,0.700382649,0.696490664,0.375305084,0.42102395,0.473785838,8513.448595,3744.889771,8369.178199,655.9502399,2208.29978,6597.957372,8619.343934,654.5719219,2401.722254,1393.115108,387.4456689,1315.182788,967.6199602
0.573104057,0.451504083,0.668157325,0.443838863,0.785919944,0.455722604,0.408858055,0.400083011,0.711224492,0.674953274,0.395588195,0.367727808,0.472965131,8522.798764,2473.308654,7722.570206,768.1881725,2070.995235,6063.070941,6457.709787,497.9017247,2495.118579,1514.966488,245.6265535,979.5218386,840.6080749
0.594727096,0.472229773,0.707904853,0.349444403,0.818466674,0.588725536,0.580824304,0.566742489,0.781012787,0.696306465,0.467464899,0.476778947,0.505266803,8384.820271,2537.966987,8425.72699,1547.098441,2010.051651,6490.887814,7168.881535,486.6695667,2300.954324,1492.676778,294.4764888,909.7312174,751.344323
0.533868789,0.462564574,0.733402005,0.324571683,0.833581885,0.495894499,0.376511455,0.504746487,0.70696937,0.612847478,0.485796158,0.46647092,0.471578588,7332.841349,2919.357524,9708.308837,924.6060332,2065.356514,5687.041833,5551.966178,342.3842709,2234.823837,1566.426166,239.9102856,879.3653113,738.3138458
0.452548916,0.55367352,0.569573131,0.341607587,0.797452122,0.448849772,0.33826314,0.436419348,0.679852911,0.60132261,0.394924761,0.368605823,0.388724679,6709.505515,2544.518424,9859.995361,1025.800634,2235.717198,5235.354953,4869.741893,480.1161455,2247.79924,1485.013396,267.2736935,836.2935225,765.5629845
0.529502471,0.336129569,0.516337551,0.415763239,0.73347853,0.430940037,0.300678089,0.564196446,0.659652447,0.584589127,0.366083385,0.497738567,0.432857822,7052.293781,2657.742835,9465.154257,601.9270321,2251.923024,6253.048778,6622.366952,449.1666109,2441.125885,1603.730046,272.8711864,764.8340328,821.2835027
0.525545876,0.486713372,0.605083565,0.446735224,0.791718139,0.441656369,0.340602295,0.50470133,0.704071981,0.543142173,0.459882397,0.612498455,0.445817991,8298.043107,2650.838468,12237.60469,912.2182484,2303.332954,6154.610348,6767.208755,472.3437545,2444.2023,1590.658145,241.8432753,904.4380375,930.868757
0.541631075,0.400872704,0.546272314,0.446815326,0.752961992,0.482818213,0.340029584,0.501070492,0.725576381,0.562294574,0.479308726,0.509732067,0.405430375,7614.397791,2780.718677,10164.94623,718.9316364,2208.325984,6015.84358,6453.558577,589.2600965,2271.837205,1413.831615,280.2752465,963.1674938,805.1099076
0.714193166,0.591794288,0.63030926,0.469569596,0.66954048,0.516244322,0.537613131,0.49225463,0.786648165,0.730854928,0.451294679,0.546420929,0.452321297,8129.206438,2814.97484,10351.26524,557.4055426,2222.104053,5856.734676,7871.436639,633.9895325,2504.182136,1394.819782,247.3559665,926.7595695,804.1581198
0.610364419,0.481630258,0.441678118,0.356178624,0.602443927,0.400951129,0.457910096,0.441700909,0.769375876,0.710548566,0.37764397,0.558186751,0.411689107,7182.442601,2801.431946,11350.3506,657.8707962,2201.227074,6805.179823,6259.181435,636.2879911,2219.604405,1450.092393,325.5421155,918.4637781,867.3211913
0.69068802,0.406736501,0.526372325,0.273149627,0.65528102,0.497701694,0.474715553,0.412513257,0.742419017,0.62836918,0.425096888,0.519152047,0.371392468,7998.566042,2561.408472,12354.29252,612.8457663,2749.239568,6625.270173,5505.070897,608.5202583,2526.535822,1414.676556,251.417735,787.273315,652.6034694
