"iter","stock","param","value"
4,11,"alpha",2.56182383961101
4,12,"alpha",2.11273007084395
4,1,"beta",0.00173486733654735
4,2,"beta",0.000292584102532544
4,3,"beta",5.44254269101573e-05
4,4,"beta",0.000375422033101283
4,5,"beta",0.00135679096159692
4,6,"beta",0.00270858758423256
4,7,"beta",0.000409718755386574
4,8,"beta",8.22605151895162e-05
4,9,"beta",0.000425394409253801
4,10,"beta",0.000454576978006203
4,11,"beta",0.000184704701077953
4,12,"beta",0.000102169647134021
4,1,"U_msy",0.462373823
4,2,"U_msy",0.307237428
4,3,"U_msy",0.515733433
4,4,"U_msy",0.314474499
4,5,"U_msy",0.597158013
4,6,"U_msy",0.619940328
4,7,"U_msy",0.284697486
4,8,"U_msy",0.681623059
4,9,"U_msy",0.441508375
4,10,"U_msy",0.657710061
4,11,"U_msy",0.41114468
4,12,"U_msy",0.337000277
4,1,"S_msy",266.5182595
4,2,"S_msy",1050.082439
4,3,"S_msy",9475.964862
4,4,"S_msy",837.6559479
4,5,"S_msy",440.1252882
4,6,"S_msy",228.8795576
4,7,"S_msy",694.8607606
4,8,"S_msy",8286.151107
4,9,"S_msy",1037.88006
4,10,"S_msy",1446.861792
4,11,"S_msy",2225.956771
4,12,"S_msy",3298.438298
4,NA,"S_obj",50032.1004203616
4,NA,"U_obj",0.3
4,NA,"U_MSY",0.56
4,NA,"S_MSY",23997.8617274903
5,1,"alpha",1.99661451578058
5,2,"alpha",3.38066160322507
5,3,"alpha",8.85864118136527
5,4,"alpha",4.02705788780166
5,5,"alpha",5.83814270166797
5,6,"alpha",3.44519097893799
5,7,"alpha",4.09221861879443
5,8,"alpha",4.37810363276776
5,9,"alpha",3.31949507543855
5,10,"alpha",10.1031004623807
5,11,"alpha",3.05353285868025
5,12,"alpha",10.0016466168168
5,1,"beta",0.000399249199099286
5,2,"beta",0.000625319566621189
5,3,"beta",0.000325328734005416
5,4,"beta",0.000521077096006088
5,5,"beta",0.000439588725083136
5,6,"beta",8.89301409603111e-05
5,7,"beta",7.58361034620374e-05
5,8,"beta",9.05570150146832e-05
5,9,"beta",0.000767683870330073
5,10,"beta",0.000118059838090497
5,11,"beta",0.000434660847566765
5,12,"beta",0.000402132343585781
5,1,"U_msy",0.314234076
5,2,"U_msy",0.508262068
5,3,"U_msy",0.758890266
5,4,"U_msy",0.563672921
5,5,"U_msy",0.666450054
5,6,"U_msy",0.514468411
5,7,"U_msy",0.568529993
5,8,"U_msy",0.588549387
5,9,"U_msy",0.502218544
5,10,"U_msy",0.783353601
5,11,"U_msy",0.473946629
5,12,"U_msy",0.78155029
5,1,"S_msy",787.0625081
5,2,"S_msy",812.8037169
5,3,"S_msy",2332.687484
5,4,"S_msy",1081.745725
5,5,"S_msy",1516.076314
5,6,"S_msy",5785.084848
5,7,"S_msy",7496.824956
5,8,"S_msy",6499.213638
5,9,"S_msy",654.1996822
5,10,"S_msy",6635.2251
5,11,"S_msy",1090.382609
5,12,"S_msy",1943.51512
5,NA,"S_obj",56330.9922379972
5,NA,"U_obj",0.47
5,NA,"U_MSY",0.62
5,NA,"S_MSY",36592.5479720725
6,1,"alpha",1.77077541356154
6,2,"alpha",3.07432329196428
6,3,"alpha",3.26385666923789
6,4,"alpha",6.16799822181624
6,5,"alpha",2.72414226128195
6,6,"alpha",2.99220013788717
6,7,"alpha",5.67194658676068
6,8,"alpha",3.26697764764734
6,9,"alpha",6.20580724847403
6,10,"alpha",3.01428143422494
6,11,"alpha",3.080388249868
6,12,"alpha",2.46213323560203
6,1,"beta",0.000146191275709484
6,2,"beta",0.000138896543031416
6,3,"beta",0.00162552659453319
6,4,"beta",0.000241818276733884
6,5,"beta",0.000410023518526613
6,6,"beta",3.17240476699879e-05
6,7,"beta",0.000768269394369789
6,8,"beta",0.000238364102202746
6,9,"beta",0.000271835820267393
6,10,"beta",7.50710038361171e-05
6,11,"beta",3.20333970304356e-05
6,12,"beta",5.21650877126595e-05
6,1,"U_msy",0.264378279
6,2,"U_msy",0.47628231
6,3,"U_msy",0.496579684
6,4,"U_msy",0.67998547
6,5,"U_msy",0.433635752
6,6,"U_msy",0.4669218
6,7,"U_msy",0.65916769
6,8,"U_msy",0.496899655
6,9,"U_msy",0.681464417
6,10,"U_msy",0.469474402
6,11,"U_msy",0.476959419
6,12,"U_msy",0.396318916
6,1,"S_msy",1808.440878
6,2,"S_msy",3429.043658
6,3,"S_msy",305.4885018
6,4,"S_msy",2811.968885
6,5,"S_msy",1057.58751
6,6,"S_msy",14718.22905
6,7,"S_msy",857.9903024
6,8,"S_msy",2084.624532
6,9,"S_msy",2506.897054
6,10,"S_msy",6253.738168
6,11,"S_msy",14889.44237
6,12,"S_msy",7597.397673
6,NA,"S_obj",76169.9812973542
6,NA,"U_obj",0.39
6,NA,"U_MSY",0.48
6,NA,"S_MSY",56679.2663334813
7,1,"alpha",2.13598122461412
7,2,"alpha",2.80852399187615
7,3,"alpha",3.45324744445919
7,4,"alpha",9.26129495961606
7,5,"alpha",3.55218177524341
7,6,"alpha",1.89327568370441
7,7,"alpha",2.57668174867359
7,8,"alpha",2.19802466448322
7,9,"alpha",2.44868457470117
7,10,"alpha",2.3271977965487
7,11,"alpha",2.94399026262555
7,12,"alpha",3.59141478419231
7,1,"beta",6.26168948277069e-05
7,2,"beta",0.000630677785581124
7,3,"beta",0.00210996265791639
7,4,"beta",0.00012445548552741
7,5,"beta",0.00017855687511532
7,6,"beta",6.63978252455827e-05
7,7,"beta",0.000396780558723735
7,8,"beta",0.00019790943712613
7,9,"beta",0.000423473051073752
7,10,"beta",4.51363102988002e-05
7,11,"beta",0.000711697072988177
7,12,"beta",9.16157206215478e-05
7,1,"U_msy",0.341355217
7,2,"U_msy",0.444597276
7,3,"U_msy",0.51523142
7,4,"U_msy",0.767401669
7,5,"U_msy",0.524394806
7,6,"U_msy",0.292413334
7,7,"U_msy",0.413285492
7,8,"U_msy",0.352666074
7,9,"U_msy",0.394254924
7,10,"U_msy",0.374869704
7,11,"U_msy",0.461254291
7,12,"U_msy",0.527926221
7,1,"S_msy",5451.487461
7,2,"S_msy",704.9515397
7,3,"S_msy",244.1898287
7,4,"S_msy",6166.073482
7,5,"S_msy",2936.850265
7,6,"S_msy",4403.959511
7,7,"S_msy",1041.597132
7,8,"S_msy",1781.956834
7,9,"S_msy",931.0035739
7,10,"S_msy",8305.280195
7,11,"S_msy",648.1048026
7,12,"S_msy",5762.397735
7,NA,"S_obj",53739.5332830499
7,NA,"U_obj",0.34
7,NA,"U_MSY",0.43
7,NA,"S_MSY",40378.7159816796
8,1,"alpha",3.20537077408353
8,2,"alpha",3.34227443756657
8,3,"alpha",5.02507992842732
8,4,"alpha",2.07468897087654
8,5,"alpha",2.97677250056729
8,6,"alpha",4.66363097440605
8,7,"alpha",4.62509470360029
8,8,"alpha",3.35634862742396
8,9,"alpha",2.55181285412452
8,10,"alpha",5.75998244970053
8,11,"alpha",9.85309425729836
8,12,"alpha",3.01510940065364
8,1,"beta",0.000180551476231691
8,2,"beta",0.000499267155289714
8,3,"beta",7.82879659876854e-05
8,4,"beta",3.58190830362628e-05
8,5,"beta",0.00178320345273692
8,6,"beta",0.000200457947693993
8,7,"beta",0.000198935127027457
8,8,"beta",8.37277274302071e-05
8,9,"beta",3.98200891480848e-05
8,10,"beta",0.000488467631381946
8,11,"beta",0.000134211536108999
8,12,"beta",0.000842420033732905
8,1,"U_msy",0.490500791
8,2,"U_msy",0.504487946
8,3,"U_msy",0.627343409
8,4,"U_msy",0.329732643
8,5,"U_msy",0.465122371
8,6,"U_msy",0.606675081
8,7,"U_msy",0.60432776
8,8,"U_msy",0.505878938
8,9,"U_msy",0.40969244
8,10,"U_msy",0.663066054
8,11,"U_msy",0.778853888
8,12,"U_msy",0.469569596
8,1,"S_msy",2716.681144
8,2,"S_msy",1010.456908
8,3,"S_msy",8013.280216
8,4,"S_msy",9205.502069
8,5,"S_msy",260.8352795
8,6,"S_msy",3026.445636
8,7,"S_msy",3037.813226
8,8,"S_msy",6041.952332
8,9,"S_msy",10288.58671
8,10,"S_msy",1357.441131
8,11,"S_msy",5803.181385
8,12,"S_msy",557.4055426
8,NA,"S_obj",71356.3147147184
8,NA,"U_obj",0.4
8,NA,"U_MSY",0.55
8,NA,"S_MSY",42621.457517005
9,1,"alpha",4.62668086522484
9,2,"alpha",3.23357906226222
9,3,"alpha",2.01099014257472
9,4,"alpha",3.41446894198383
9,5,"alpha",2.19454316508496
9,6,"alpha",6.66919528667313
9,7,"alpha",2.98594319620244
9,8,"alpha",4.22940336544942
9,9,"alpha",8.19619024410641
