"iter","param","stock","method","mean","sd","50%","2.5%","97.5%","bgr"
1,"alpha",1,"lme",5.59134274529199,1.2353972884027,5.49276200093218,3.25822043255171,8.87189933086785,1.13706401041144
1,"alpha",2,"lme",6.23320941096919,1.31177841962097,6.0419830705612,4.34289257996095,9.53447053652091,0.985708360537521
1,"alpha",3,"lme",5.51586273889181,0.940649837681381,5.28489543187287,4.20712462412535,7.52028745409441,1.14072679505857
1,"alpha",4,"lme",5.84930159861736,0.795416637679705,5.74796349288648,4.49873591964323,7.54086254655737,0.987358968866468
1,"alpha",5,"lme",5.62956538893248,0.79887837844638,5.54041470896796,4.4156402371352,7.16972516613805,1.12647657160371
1,"alpha",6,"lme",5.75584743733089,1.05867445573928,5.59968292576313,4.41966162652435,8.03285966950818,1.04082996770603
1,"alpha",7,"lme",5.04583964104481,0.980803818005462,5.09361026516,3.07548743300201,6.75869920332618,1.02011058791754
1,"alpha",8,"lme",5.35511735572882,0.920457609412418,5.29538175211417,3.50043173782216,7.10121587418117,1.07808187486432
1,"alpha",9,"lme",4.94531160574353,0.77583921673295,5.04133215365823,3.4524621004929,6.01648753714892,0.993000996542584
1,"alpha",10,"lme",6.34121050274796,1.79014946312974,5.74259362302542,4.41418790754978,10.1368554894334,1.112690766273
1,"alpha",11,"lme",5.04563095231457,0.841114710480018,5.18129616949395,3.66031352299779,6.6198798376991,0.980476221799244
1,"alpha",12,"lme",5.4276473470629,0.730622808238208,5.27166114958281,4.57558716947311,6.91853266423393,0.997139626309985
1,"beta",1,"lme",0.000194253588563448,3.83395268456718e-05,0.000198022007300306,0.000123906803682047,0.000267774589720365,1.01021361590358
1,"beta",2,"lme",5.71765090321869e-05,9.67983769851673e-06,5.57310265924779e-05,4.13198554065347e-05,8.02795494674394e-05,1.001742195834
1,"beta",3,"lme",0.000335881961935178,7.00900763553712e-05,0.000331400236936987,0.000208818883085476,0.000458723635837049,1.00796184979366
1,"beta",4,"lme",0.000144619480329244,1.25587180944962e-05,0.000143438714223991,0.000127061902223649,0.000171117077025471,1.04031715154124
1,"beta",5,"lme",0.000635636609461404,6.18252301106181e-05,0.000626019511368693,0.000519344573063074,0.000725170472983012,1.33801836781015
1,"beta",6,"lme",7.96501578572987e-05,1.32815728197016e-05,7.74559382928343e-05,5.51625683907783e-05,0.000106094106044253,0.980601741566579
1,"beta",7,"lme",0.000483886601334628,0.000105633818607273,0.000495019754450684,0.000268254141368801,0.000653770322375825,0.99658717040168
1,"beta",8,"lme",6.3548008639227e-05,9.77642935631416e-06,6.44174974207604e-05,4.56481403080373e-05,7.99447501361358e-05,1.04369857597166
1,"beta",9,"lme",0.000314654493572974,4.61023927347831e-05,0.000324972084507335,0.000222718386658194,0.00037733801770239,1.11705138787415
1,"beta",10,"lme",0.000879402738485974,0.000139548723610364,0.000867559835095172,0.000629871907439684,0.00116985697144343,1.06408033096538
1,"beta",11,"lme",0.000171778411111414,2.60217453638441e-05,0.000174473677308715,0.000116094257393748,0.000225789949462071,1.06401115144404
1,"beta",12,"lme",0.000844926620245153,8.19461754606418e-05,0.000830282068776884,0.000718835560200575,0.00101703420700716,0.992606391862651
1,"U_msy",1,"lme",0.643062419683721,0.0569489409211492,0.647548182099745,0.493789236900519,0.755231273302617,NA
1,"U_msy",2,"lme",0.671838852294823,0.0462990028918095,0.671351482774421,0.583627502813696,0.769636119622695,NA
1,"U_msy",3,"lme",0.643654271746823,0.0405708845126801,0.637576094397825,0.574431152592046,0.721654779849676,NA
1,"U_msy",4,"lme",0.660066936224671,0.0330871897485008,0.659039743096853,0.593734881499743,0.722269921195818,NA
1,"U_msy",5,"lme",0.650305175138759,0.0338191463880517,0.649756716385721,0.588429239592686,0.711162867695276,NA
1,"U_msy",6,"lme",0.65376700830083,0.0420060792584558,0.652453961418404,0.588703193780311,0.735515572019876,NA
1,"U_msy",7,"lme",0.617154218105745,0.0581632826391099,0.627859666992386,0.475758854662363,0.69787329493454,NA
1,"U_msy",8,"lme",0.635124215910686,0.0471056971302769,0.638088617523063,0.51714685854944,0.709027267238526,NA
1,"U_msy",9,"lme",0.614612050090427,0.0464567766331116,0.625108857031953,0.51393121332707,0.670323619532852,NA
1,"U_msy",10,"lme",0.671900089089549,0.055118182115252,0.658788614444304,0.58833909823549,0.780422575870032,NA
1,"U_msy",11,"lme",0.619719394342428,0.0461641403062535,0.632375938662823,0.532435938522135,0.693075300358765,NA
1,"U_msy",12,"lme",0.641366241279051,0.031752258329735,0.636920244120593,0.598552910749792,0.703204044317976,NA
1,"S_msy",1,"lme",3399.82974373563,509.95942120278,3308.85420278106,2680.61973466296,4635.33846431734,NA
1,"S_msy",2,"lme",11965.7748522358,1421.64412526189,12048.1760325451,9424.8013807029,14837.2768548097,NA
1,"S_msy",3,"lme",1986.71862853102,367.636755444178,1937.7055173092,1476.33641067622,2860.52162545896,NA
1,"S_msy",4,"lme",4582.53938939579,264.279442074173,4576.23429557159,4170.31891053432,5055.91021596337,NA
1,"S_msy",5,"lme",1028.50724786035,66.997590951612,1028.43215973534,927.519885685944,1176.69977633415,NA
1,"S_msy",6,"lme",8380.79170152801,1163.55726065882,8140.93365257418,6680.52118085674,10981.5755484696,NA
1,"S_msy",7,"lme",1324.60980704743,244.30459402942,1261.30579682856,1016.79794692223,1846.4339528422,NA
1,"S_msy",8,"lme",10169.8745050178,1312.02865332241,10038.7212233363,8350.44912749566,12933.5536338008,NA
1,"S_msy",9,"lme",1984.6647284498,244.556902548638,1921.24553963749,1763.67299902933,2373.48907693497,NA
