"iter","stock","param","value"
1,1,"alpha",2.94950936797708
1,2,"alpha",4.6945460261772
1,3,"alpha",2.02964114030851
1,4,"alpha",10.6323083293058
1,5,"alpha",8.73998412681723
1,6,"alpha",2.47667930768841
1,7,"alpha",5.12789011487963
1,8,"alpha",3.10842271391654
1,9,"alpha",2.08790769399559
1,10,"alpha",2.07984874801843
1,11,"alpha",4.47866646172167
1,12,"alpha",8.37916998521433
1,1,"beta",6.3476443588196e-05
1,2,"beta",0.00116174037155599
1,3,"beta",0.000590344180392316
1,4,"beta",0.000374867174346049
1,5,"beta",0.000349221787624253
1,6,"beta",0.00128174418216656
1,7,"beta",0.000358597425943728
1,8,"beta",0.000216390753559903
1,9,"beta",1.59991932628474e-05
1,10,"beta",0.000382453781256107
1,11,"beta",0.000101817058102518
1,12,"beta",0.000310915481853883
1,1,"U_msy",0.461909788
1,2,"U_msy",0.608537039
1,3,"U_msy",0.320888721
1,4,"U_msy",0.792289126
1,5,"U_msy",0.756259055
1,6,"U_msy",0.398533776
1,7,"U_msy",0.632812266
1,8,"U_msy",0.480064643
1,9,"U_msy",0.332278441
1,10,"U_msy",0.330728982
1,11,"U_msy",0.595131754
1,12,"U_msy",0.747883775
1,1,"S_msy",7276.869369
1,2,"S_msy",523.8150054
1,3,"S_msy",543.5620976
1,4,"S_msy",2113.519615
1,5,"S_msy",2165.555191
1,6,"S_msy",310.930825
1,7,"S_msy",1764.68714
1,8,"S_msy",2218.508116
1,9,"S_msy",20768.44973
1,10,"S_msy",864.7554246
1,11,"S_msy",5845.108522
1,12,"S_msy",2405.424685
1,NA,"S_obj",67954.2837925792
1,NA,"U_obj",0.33
1,NA,"U_MSY",0.44
1,NA,"S_MSY",48193.5153179823
