"iter","stock","param","value"
1,1,"alpha",2.01546287437591
1,2,"alpha",5.27846208236202
1,3,"alpha",2.1816006604736
1,4,"alpha",2.08325629758336
1,5,"alpha",5.41643021298058
1,6,"alpha",3.79304629584326
1,7,"alpha",2.61361842372874
1,8,"alpha",3.5113742832947
1,9,"alpha",2.7464042035037
1,10,"alpha",3.8180775560641
1,11,"alpha",2.82541093227215
1,12,"alpha",4.27836328378378
1,1,"beta",0.00140361736771298
1,2,"beta",0.000472742715850474
1,3,"beta",0.000407874358521854
1,4,"beta",6.67010844005349e-05
1,5,"beta",0.00257172388820756
1,6,"beta",6.94643139534294e-05
1,7,"beta",6.61688235118023e-05
1,8,"beta",0.00072340560776024
1,9,"beta",0.00144541739523874
1,10,"beta",0.000264188005385083
1,11,"beta",0.000489724059767011
1,12,"beta",0.000526946123154697
1,1,"U_msy",0.318049978
1,2,"U_msy",0.640524772
1,3,"U_msy",0.349714726
1,4,"U_msy",0.331385131
1,5,"U_msy",0.647299876
1,6,"U_msy",0.545222493
1,7,"U_msy",0.418533578
1,8,"U_msy",0.520660769
1,9,"U_msy",0.436573718
1,10,"U_msy",0.54727551
1,11,"U_msy",0.446735224
1,12,"U_msy",0.581792638
1,1,"S_msy",226.5930768
1,2,"S_msy",1354.911986
1,3,"S_msy",857.4079706
1,4,"S_msy",4968.212046
1,5,"S_msy",251.6988231
1,6,"S_msy",7848.958148
1,7,"S_msy",6325.238319
1,8,"S_msy",719.7355998
1,9,"S_msy",302.0398948
1,10,"S_msy",2071.538067
1,11,"S_msy",912.2182484
1,12,"S_msy",1104.083724
1,NA,"S_obj",39672.5338708162
1,NA,"U_obj",0.33
1,NA,"U_MSY",0.45
1,NA,"S_MSY",27837.2029495001
2,1,"alpha",2.28417534830178
2,2,"alpha",6.08975420218143
2,3,"alpha",2.49819034142501
2,4,"alpha",3.0338911060093
2,5,"alpha",3.65913203666662
2,6,"alpha",3.17790736050798
2,7,"alpha",3.78933179639966
2,8,"alpha",4.15350715841874
2,9,"alpha",3.65452546621258
2,10,"alpha",3.46320546905663
2,11,"alpha",7.31373829562421
2,12,"alpha",2.54885749485131
2,1,"beta",0.000195291714690468
2,2,"beta",0.000279019613633624
2,3,"beta",5.06878434684846e-05
2,4,"beta",3.21249415019512e-05
2,5,"beta",0.000388725220769536
2,6,"beta",0.000898577245675541
2,7,"beta",0.00155019190908533
2,8,"beta",0.000207974212401626
2,9,"beta",0.00016428952937512
2,10,"beta",0.000105147918530639
2,11,"beta",6.19616385740281e-05
2,12,"beta",4.87946983556519e-05
2,1,"U_msy",0.367666588
2,2,"U_msy",0.676879075
2,3,"U_msy",0.401776222
2,4,"U_msy",0.471719017
2,5,"U_msy",0.533890747
2,6,"U_msy",0.487590923
2,7,"U_msy",0.544916136
2,8,"U_msy",0.572994557
2,9,"U_msy",0.533490137
2,10,"U_msy",0.516170953
2,11,"U_msy",0.719296875
2,12,"U_msy",0.409262201
2,1,"S_msy",1882.653284
2,2,"S_msy",2425.919333
2,3,"S_msy",7926.480878
2,4,"S_msy",14683.88719
2,5,"S_msy",1373.439948
2,6,"S_msy",542.6254953
2,7,"S_msy",351.5152755
2,8,"S_msy",2755.123101
2,9,"S_msy",3247.25586
2,10,"S_msy",4908.998297
2,11,"S_msy",11608.74521
2,12,"S_msy",8387.431725
2,NA,"S_obj",84860.5438554313
2,NA,"U_obj",0.4
2,NA,"U_MSY",0.51
2,NA,"S_MSY",60369.1618363023
3,1,"alpha",4.80103335921379
3,2,"alpha",2.68976442363672
3,3,"alpha",5.15771475224579
3,4,"alpha",4.03702212676025
3,5,"alpha",2.84194326283298
3,6,"alpha",4.43804976174667
3,7,"alpha",3.27302376350411
3,8,"alpha",2.79343528209876
3,9,"alpha",3.73653500351657
3,10,"alpha",3.133860104837
3,11,"alpha",3.9921717177911
3,12,"alpha",7.22582095613489
3,1,"beta",9.81991328181109e-05
3,2,"beta",0.00109950279114903
3,3,"beta",0.000212188706685989
3,4,"beta",0.000644404973069947
3,5,"beta",0.000183961467614027
3,6,"beta",5.44775305873509e-05
3,7,"beta",0.000451608261896953
3,8,"beta",2.1584196608189e-05
3,9,"beta",0.000101277745594245
3,10,"beta",0.000535500085621258
3,11,"beta",0.000326351699693972
3,12,"beta",0.000292705583735857
3,1,"U_msy",0.614810728
3,2,"U_msy",0.429031819
3,3,"U_msy",0.634367381
3,4,"U_msy",0.564423192
3,5,"U_msy",0.44881084
3,6,"U_msy",0.5925002
3,7,"U_msy",0.497518266
3,8,"U_msy",0.442671563
3,9,"U_msy",0.540513341
3,10,"U_msy",0.48284768
3,11,"U_msy",0.561024255
3,12,"U_msy",0.716636412
3,1,"S_msy",6260.856999
3,2,"S_msy",390.2053023
3,3,"S_msy",2989.637813
3,4,"S_msy",875.8827377
3,5,"S_msy",2439.700258
3,6,"S_msy",10876.04731
3,7,"S_msy",1101.658911
3,8,"S_msy",20509.05906
3,9,"S_msy",5336.940883
3,10,"S_msy",901.6761957
3,11,"S_msy",1719.078698
3,12,"S_msy",2448.318214
3,NA,"S_obj",73599.5231413369
3,NA,"U_obj",0.44
3,NA,"U_MSY",0.52
3,NA,"S_MSY",56964.2071491685
4,1,"alpha",2.44854334659264
4,2,"alpha",2.65066387216817
4,3,"alpha",4.08715574267806
4,4,"alpha",2.12825726108592
4,5,"alpha",3.063959126756
