"iter","stock","param","value"
1,1,"alpha",6.49515236812759
1,2,"alpha",1.84890519553461
1,3,"alpha",3.68775052103055
1,4,"alpha",14.7335287025347
1,5,"alpha",2.84942807060942
1,6,"alpha",2.25068365848165
1,7,"alpha",2.67180674456894
1,8,"alpha",6.37518816971824
1,9,"alpha",3.81780862215393
1,10,"alpha",7.53818911416831
1,11,"alpha",7.0326482372679
1,12,"alpha",2.37703827037112
1,1,"beta",0.000291211805740004
1,2,"beta",0.000334925081561481
1,3,"beta",0.00104098561046784
1,4,"beta",0.000159148805266137
1,5,"beta",6.31456783659489e-05
1,6,"beta",2.95770492346466e-05
1,7,"beta",0.00158225877665168
1,8,"beta",0.000233393501189461
1,9,"beta",0.000933056023236463
1,10,"beta",9.11053445719428e-05
1,11,"beta",0.000299104021284341
1,12,"beta",0.000352233243063652
1,1,"U_msy",0.692329673
1,2,"U_msy",0.282546515
1,3,"U_msy",0.536363094
1,4,"U_msy",0.842404174
1,5,"U_msy",0.449744938
1,6,"U_msy",0.361928728
1,7,"U_msy",0.426593878
1,8,"U_msy",0.687919499
1,9,"U_msy",0.547253558
1,10,"U_msy",0.725861211
1,11,"U_msy",0.710604012
1,12,"U_msy",0.382988184
1,1,"S_msy",2377.409361
1,2,"S_msy",843.6110956
1,3,"S_msy",515.2454449
1,4,"S_msy",5293.185661
1,5,"S_msy",7122.339163
1,6,"S_msy",12236.80987
1,7,"S_msy",269.6106884
1,8,"S_msy",2947.466384
1,9,"S_msy",586.5173627
1,10,"S_msy",7967.273648
1,11,"S_msy",2375.775521
1,12,"S_msy",1087.314135
1,NA,"S_obj",72987.8825352625
1,NA,"U_obj",0.36
1,NA,"U_MSY",0.75
1,NA,"S_MSY",20696.3846505472
